,0,1,2,3,4
1,Arrays,Hash Table,,,
2,Linked Lists,Math,,,
3,Hash Table,Two Pointers,String,Sliding Window,
4,Arrays,Binary Search,Divide and Conquer,,
5,String,Dynamic Programming,,,
6,String,,,,
7,Math,,,,
8,Math,String,,,
9,Math,,,,
10,String,Dynamic Programming,Backtracking,,
11,Arrays,Two Pointers,,,
12,Math,String,,,
13,Math,String,,,
14,String,,,,
15,Arrays,Two Pointers,,,
16,Arrays,Two Pointers,,,
17,String,Backtracking,,,
18,Arrays,Hash Table,Two Pointers,,
19,Linked Lists,Two Pointers,,,
20,String,Stack,,,
21,Linked Lists,,,,
22,String,Backtracking,,,
23,Linked Lists,Divide and Conquer,Heap,,
24,Linked Lists,,,,
25,Linked Lists,,,,
26,Arrays,Two Pointers,,,
27,Arrays,Two Pointers,,,
28,Two Pointers,String,,,
29,Math,Binary Search,,,
30,Hash Table,Two Pointers,String,,
31,Arrays,,,,
32,String,Dynamic Programming,,,
33,Arrays,Binary Search,,,
34,Arrays,Binary Search,,,
35,Arrays,Binary Search,,,
36,Hash Table,,,,
37,Hash Table,Backtracking,,,
38,String,,,,
39,Arrays,Backtracking,,,
40,Arrays,Backtracking,,,
41,Arrays,,,,
42,Arrays,Two Pointers,Stack,,
43,Math,String,,,
44,String,Dynamic Programming,Backtracking,Greedy,
45,Arrays,Greedy,,,
46,Backtracking,,,,
47,Backtracking,,,,
48,Arrays,,,,
49,Hash Table,String,,,
50,Math,Binary Search,,,
51,Backtracking,,,,
52,Backtracking,,,,
53,Arrays,Divide and Conquer,Dynamic Programming,,
54,Arrays,,,,
55,Arrays,Greedy,,,
56,Arrays,Sort,,,
57,Arrays,Sort,,,
58,String,,,,
59,Arrays,,,,
60,Math,Backtracking,,,
61,Linked Lists,Two Pointers,,,
62,Arrays,Dynamic Programming,,,
63,Arrays,Dynamic Programming,,,
64,Arrays,Dynamic Programming,,,
65,Math,String,,,
66,Arrays,,,,
67,Math,String,,,
68,String,,,,
69,Math,Binary Search,,,
70,Dynamic Programming,,,,
71,String,Stack,,,
72,String,Dynamic Programming,,,
73,Arrays,,,,
74,Arrays,Binary Search,,,
75,Arrays,Two Pointers,Sort,,
76,Hash Table,Two Pointers,String,Sliding Window,
77,Backtracking,,,,
78,Arrays,Backtracking,Bit Manipulation,,
79,Arrays,Backtracking,,,
80,Arrays,Two Pointers,,,
81,Arrays,Binary Search,,,
82,Linked Lists,,,,
83,Linked Lists,,,,
84,Arrays,Stack,,,
85,Arrays,Hash Table,Dynamic Programming,Stack,
86,Linked Lists,Two Pointers,,,
87,String,Dynamic Programming,,,
88,Arrays,Two Pointers,,,
89,Backtracking,,,,
90,Arrays,Backtracking,,,
91,String,Dynamic Programming,,,
92,Linked Lists,,,,
93,String,Backtracking,,,
94,Hash Table,Stack,Tree,,
95,Dynamic Programming,Tree,,,
96,Dynamic Programming,Tree,,,
97,String,Dynamic Programming,,,
98,Tree,Depth First Search,,,
99,Tree,Depth First Search,,,
100,Tree,Depth First Search,,,
101,Tree,Depth First Search,Breadth First Search,,
102,Tree,Breadth First Search,,,
103,Stack,Tree,Breadth First Search,,
104,Tree,Depth First Search,,,
105,Arrays,Tree,Depth First Search,,
106,Arrays,Tree,Depth First Search,,
107,Tree,Breadth First Search,,,
108,Tree,Depth First Search,,,
109,Linked Lists,Depth First Search,,,
110,Tree,Depth First Search,,,
111,Tree,Depth First Search,Breadth First Search,,
112,Tree,Depth First Search,,,
113,Tree,Depth First Search,,,
114,Tree,Depth First Search,,,
115,String,Dynamic Programming,,,
116,Tree,Depth First Search,Breadth First Search,,
117,Tree,Depth First Search,,,
118,Arrays,,,,
119,Arrays,,,,
120,Arrays,Dynamic Programming,,,
121,Arrays,Dynamic Programming,,,
122,Arrays,Greedy,,,
123,Arrays,Dynamic Programming,,,
124,Tree,Depth First Search,,,
125,Two Pointers,String,,,
126,Arrays,String,Backtracking,Breadth First Search,
127,Breadth First Search,,,,
128,Arrays,Union Find,,,
129,Tree,Depth First Search,,,
130,Depth First Search,Breadth First Search,Union Find,,
131,Backtracking,,,,
132,Dynamic Programming,,,,
133,Depth First Search,Breadth First Search,Graph,,
134,Greedy,,,,
135,Greedy,,,,
136,Hash Table,Bit Manipulation,,,
137,Bit Manipulation,,,,
138,Hash Table,Linked Lists,,,
139,Dynamic Programming,,,,
140,Dynamic Programming,Backtracking,,,
141,Linked Lists,Two Pointers,,,
142,Linked Lists,Two Pointers,,,
143,Linked Lists,,,,
144,Stack,Tree,,,
145,Stack,Tree,,,
146,Design,,,,
147,Linked Lists,Sort,,,
148,Linked Lists,Sort,,,
149,Hash Table,Math,,,
150,Stack,,,,
151,String,,,,
152,Arrays,Dynamic Programming,,,
153,Arrays,Binary Search,,,
154,Arrays,Binary Search,,,
155,Stack,Design,,,
156,Tree,,,,
157,String,,,,
158,String,,,,
159,Hash Table,Two Pointers,String,Sliding Window,
160,Linked Lists,,,,
161,String,,,,
162,Arrays,Binary Search,,,
163,Arrays,,,,
164,Sort,,,,
165,String,,,,
166,Hash Table,Math,,,
167,Arrays,Two Pointers,Binary Search,,
168,Math,,,,
169,Arrays,Divide and Conquer,Bit Manipulation,,
170,Hash Table,Design,,,
171,Math,,,,
172,Math,,,,
173,Stack,Tree,Design,,
174,Binary Search,Dynamic Programming,,,
175,,,,,
176,,,,,
177,,,,,
178,,,,,
179,Sort,,,,
180,,,,,
181,,,,,
182,,,,,
183,,,,,
184,,,,,
185,,,,,
186,String,,,,
187,Hash Table,Bit Manipulation,,,
188,Dynamic Programming,,,,
189,Arrays,,,,
190,Bit Manipulation,,,,
191,Bit Manipulation,,,,
192,,,,,
193,,,,,
194,,,,,
195,,,,,
196,,,,,
197,,,,,
198,Dynamic Programming,,,,
199,Tree,Depth First Search,Breadth First Search,,
200,Depth First Search,Breadth First Search,Union Find,,
201,Bit Manipulation,,,,
202,Hash Table,Math,,,
203,Linked Lists,,,,
204,Hash Table,Math,,,
205,Hash Table,,,,
206,Linked Lists,,,,
207,Depth First Search,Breadth First Search,Graph,Topological Sort,
208,Design,Trie,,,
209,Arrays,Two Pointers,Binary Search,,
210,Depth First Search,Breadth First Search,Graph,Topological Sort,
211,Backtracking,Design,Trie,,
212,Backtracking,Trie,,,
213,Dynamic Programming,,,,
214,String,,,,
215,Divide and Conquer,Heap,,,
216,Arrays,Backtracking,,,
217,Arrays,Hash Table,,,
218,Divide and Conquer,Heap,Binary Indexed Tree,Segment Tree,
219,Arrays,Hash Table,,,
220,Sort,Ordered Map,,,
221,Dynamic Programming,,,,
222,Binary Search,Tree,,,
223,Math,,,,
224,Math,Stack,,,
225,Stack,Design,,,
226,Tree,,,,
227,String,Stack,,,
228,Arrays,,,,
229,Arrays,,,,
230,Binary Search,Tree,,,
231,Math,Bit Manipulation,,,
232,Stack,Design,,,
233,Math,,,,
234,Linked Lists,Two Pointers,,,
235,Tree,,,,
236,Tree,,,,
237,Linked Lists,,,,
238,Arrays,,,,
239,Heap,Sliding Window,,,
240,Binary Search,Divide and Conquer,,,
241,Divide and Conquer,,,,
242,Hash Table,Sort,,,
243,Arrays,,,,
244,Hash Table,Design,,,
245,Arrays,,,,
246,Hash Table,Math,,,
247,Math,Recursion,,,
248,Math,Recursion,,,
249,Hash Table,String,,,
250,Tree,,,,
251,Design,,,,
252,Sort,,,,
253,Heap,Greedy,Sort,,
254,Backtracking,,,,
255,Stack,Tree,,,
256,Dynamic Programming,,,,
257,Tree,Depth First Search,,,
258,Math,,,,
259,Arrays,Two Pointers,,,
260,Bit Manipulation,,,,
261,Depth First Search,Breadth First Search,Union Find,Graph,
262,,,,,
263,Math,,,,
264,Math,Dynamic Programming,Heap,,
265,Dynamic Programming,,,,
266,Hash Table,,,,
267,Backtracking,,,,
268,Arrays,Math,Bit Manipulation,,
269,Graph,Topological Sort,,,
270,Binary Search,Tree,,,
271,String,,,,
272,Stack,Tree,,,
273,Math,String,,,
274,Hash Table,Sort,,,
275,Binary Search,,,,
276,Dynamic Programming,,,,
277,Arrays,,,,
278,Binary Search,,,,
279,Math,Dynamic Programming,Breadth First Search,,
280,Arrays,Sort,,,
281,Design,,,,
282,Divide and Conquer,,,,
283,Arrays,Two Pointers,,,
284,Design,,,,
285,Tree,,,,
286,Breadth First Search,,,,
287,Arrays,Two Pointers,Binary Search,,
288,Hash Table,Design,,,
289,Arrays,,,,
290,Hash Table,,,,
291,Backtracking,,,,
292,Brain Teaser,Minimax,,,
293,String,,,,
294,Backtracking,Minimax,,,
295,Heap,Design,,,
296,Math,Sort,,,
297,Tree,Design,,,
298,Tree,,,,
299,Hash Table,,,,
300,Binary Search,Dynamic Programming,,,
301,Depth First Search,Breadth First Search,,,
302,Binary Search,,,,
303,Dynamic Programming,,,,
304,Dynamic Programming,,,,
305,Union Find,,,,
306,Backtracking,,,,
307,Binary Indexed Tree,Segment Tree,,,
308,Binary Indexed Tree,Segment Tree,,,
309,Dynamic Programming,,,,
310,Breadth First Search,Graph,,,
311,Hash Table,,,,
312,Divide and Conquer,Dynamic Programming,,,
313,Math,Heap,,,
314,Depth First Search,Breadth First Search,,,
315,Binary Search,Divide and Conquer,Sort,Binary Indexed Tree,Segment Tree
316,String,Stack,Greedy,,
317,Breadth First Search,,,,
318,Bit Manipulation,,,,
319,Math,Brain Teaser,,,
320,Backtracking,Bit Manipulation,,,
321,Dynamic Programming,Greedy,,,
322,Dynamic Programming,,,,
323,Depth First Search,Breadth First Search,Union Find,Graph,
324,Sort,,,,
325,Hash Table,,,,
326,Math,,,,
327,Binary Search,Divide and Conquer,Sort,Binary Indexed Tree,Segment Tree
328,Linked Lists,,,,
329,Depth First Search,Topological Sort,Memoization,,
330,Greedy,,,,
331,Stack,,,,
332,Depth First Search,Graph,,,
333,Tree,,,,
334,,,,,
335,Math,,,,
336,Hash Table,String,Trie,,
337,Dynamic Programming,Tree,Depth First Search,,
338,Dynamic Programming,Bit Manipulation,,,
339,Depth First Search,,,,
340,Hash Table,String,Sliding Window,,
341,Stack,Design,,,
342,Bit Manipulation,,,,
343,Math,Dynamic Programming,,,
344,Two Pointers,String,,,
345,Two Pointers,String,,,
346,Design,Queue,,,
347,Hash Table,Heap,,,
348,Design,,,,
349,Hash Table,Two Pointers,Binary Search,Sort,
350,Hash Table,Two Pointers,Binary Search,Sort,
351,Dynamic Programming,Backtracking,,,
352,Binary Search,Ordered Map,,,
353,Design,Queue,,,
354,Binary Search,Dynamic Programming,,,
355,Hash Table,Heap,Design,,
356,Hash Table,Math,,,
357,Math,Dynamic Programming,Backtracking,,
358,Hash Table,Heap,Greedy,,
359,Hash Table,Design,,,
360,Math,Two Pointers,Sort,,
361,Dynamic Programming,,,,
362,Design,,,,
363,Binary Search,Dynamic Programming,Queue,,
364,Depth First Search,,,,
365,Math,,,,
366,Tree,Depth First Search,,,
367,Math,Binary Search,,,
368,Math,Dynamic Programming,,,
369,Linked Lists,,,,
370,Arrays,,,,
371,Bit Manipulation,,,,
372,Math,,,,
373,Heap,,,,
374,Binary Search,,,,
375,Dynamic Programming,Minimax,,,
376,Dynamic Programming,Greedy,,,
377,Dynamic Programming,,,,
378,Binary Search,Heap,,,
379,Linked Lists,Design,,,
380,Arrays,Hash Table,Design,,
381,Arrays,Hash Table,Design,,
382,Reservoir Sampling,,,,
383,String,,,,
384,,,,,
385,String,Stack,,,
386,,,,,
387,Hash Table,String,,,
388,,,,,
389,Hash Table,Bit Manipulation,,,
390,,,,,
391,,,,,
392,Binary Search,Dynamic Programming,Greedy,,
393,Bit Manipulation,,,,
394,Stack,Depth First Search,,,
395,,,,,
396,Math,,,,
397,Math,Bit Manipulation,,,
398,Reservoir Sampling,,,,
399,Union Find,Graph,,,
400,Math,,,,
401,Backtracking,Bit Manipulation,,,
402,Stack,Greedy,,,
403,Dynamic Programming,,,,
404,Tree,,,,
405,Bit Manipulation,,,,
406,Greedy,,,,
407,Heap,Breadth First Search,,,
408,String,,,,
409,Hash Table,,,,
410,Binary Search,Dynamic Programming,,,
411,Backtracking,Bit Manipulation,,,
412,,,,,
413,Math,Dynamic Programming,,,
414,Arrays,,,,
415,String,,,,
416,Dynamic Programming,,,,
417,Depth First Search,Breadth First Search,,,
418,Dynamic Programming,,,,
419,,,,,
420,,,,,
421,Bit Manipulation,Trie,,,
422,,,,,
423,Math,,,,
424,Two Pointers,Sliding Window,,,
425,Backtracking,Trie,,,
426,Linked Lists,Divide and Conquer,Tree,,
427,,,,,
428,Tree,,,,
429,Tree,Breadth First Search,,,
430,Linked Lists,Depth First Search,,,
431,Tree,,,,
432,Design,,,,
433,,,,,
434,String,,,,
435,Greedy,,,,
436,Binary Search,,,,
437,Tree,,,,
438,Hash Table,,,,
439,Stack,Depth First Search,,,
440,,,,,
441,Math,Binary Search,,,
442,Arrays,,,,
443,String,,,,
444,Graph,Topological Sort,,,
445,Linked Lists,,,,
446,Dynamic Programming,,,,
447,Hash Table,Math,,,
448,Arrays,,,,
449,Tree,,,,
450,Tree,,,,
451,Hash Table,Heap,,,
452,Greedy,Sort,,,
453,Math,,,,
454,Hash Table,Binary Search,,,
455,Greedy,,,,
456,Stack,,,,
457,Arrays,Two Pointers,,,
458,Math,,,,
459,String,,,,
460,Design,,,,
461,Bit Manipulation,,,,
462,Math,,,,
463,Hash Table,,,,
464,Dynamic Programming,Minimax,,,
465,,,,,
466,Dynamic Programming,,,,
467,Dynamic Programming,,,,
468,String,,,,
469,Math,,,,
470,Random,Rejection Sampling,,,
471,Dynamic Programming,,,,
472,Dynamic Programming,Depth First Search,Trie,,
473,Depth First Search,,,,
474,Dynamic Programming,,,,
475,Binary Search,,,,
476,Bit Manipulation,,,,
477,Bit Manipulation,,,,
478,Math,Random,Rejection Sampling,,
479,,,,,
480,Sliding Window,,,,
481,,,,,
482,,,,,
483,Math,Binary Search,,,
484,Greedy,,,,
485,Arrays,,,,
486,Dynamic Programming,Minimax,,,
487,Two Pointers,,,,
488,Depth First Search,,,,
489,Depth First Search,,,,
490,Depth First Search,Breadth First Search,,,
491,Depth First Search,,,,
492,Math,,,,
493,Binary Search,Divide and Conquer,Sort,Binary Indexed Tree,Segment Tree
494,Dynamic Programming,Depth First Search,,,
495,Arrays,,,,
496,Stack,,,,
497,Binary Search,Random,,,
498,,,,,
499,Depth First Search,Breadth First Search,,,
500,Hash Table,,,,
501,Tree,,,,
502,Heap,Greedy,,,
503,Stack,,,,
504,,,,,
505,Depth First Search,Breadth First Search,,,
506,,,,,
507,Math,,,,
508,Hash Table,Tree,,,
509,Arrays,,,,
510,Tree,,,,
511,,,,,
512,,,,,
513,Tree,Depth First Search,Breadth First Search,,
514,Divide and Conquer,Dynamic Programming,Depth First Search,,
515,Tree,Depth First Search,Breadth First Search,,
516,Dynamic Programming,,,,
517,Math,Dynamic Programming,,,
518,,,,,
519,Random,,,,
520,String,,,,
521,String,Brain Teaser,,,
522,String,,,,
523,Math,Dynamic Programming,,,
524,Two Pointers,Sort,,,
525,Hash Table,,,,
526,Backtracking,,,,
527,String,Sort,,,
528,Binary Search,Random,,,
529,Depth First Search,Breadth First Search,,,
530,Tree,,,,
531,Arrays,Depth First Search,,,
532,Arrays,Two Pointers,,,
533,Arrays,,,,
534,,,,,
535,Hash Table,Math,,,
536,String,Tree,,,
537,Math,String,,,
538,Tree,,,,
539,String,,,,
540,,,,,
541,String,,,,
542,Depth First Search,Breadth First Search,,,
543,Tree,,,,
544,String,Recursion,,,
545,Tree,,,,
546,Dynamic Programming,Depth First Search,,,
547,Depth First Search,Union Find,,,
548,Arrays,,,,
549,Tree,,,,
550,,,,,
551,String,,,,
552,Dynamic Programming,,,,
553,Math,String,,,
554,Hash Table,,,,
555,String,,,,
556,String,,,,
557,String,,,,
558,,,,,
559,Tree,Depth First Search,Breadth First Search,,
560,Arrays,Hash Table,,,
561,Arrays,,,,
562,Arrays,,,,
563,Tree,Depth First Search,Recursion,,
564,String,,,,
565,Arrays,,,,
566,Arrays,,,,
567,Two Pointers,Sliding Window,,,
568,Dynamic Programming,,,,
569,,,,,
570,,,,,
571,,,,,
572,Tree,,,,
573,Math,,,,
574,,,,,
575,Hash Table,,,,
576,Dynamic Programming,Depth First Search,,,
577,,,,,
578,,,,,
579,,,,,
580,,,,,
581,Arrays,,,,
582,Tree,Queue,,,
583,String,,,,
584,,,,,
585,,,,,
586,,,,,
587,Geometry,,,,
588,Design,,,,
589,Tree,,,,
590,Tree,,,,
591,String,Stack,,,
592,Math,,,,
593,Math,,,,
594,Hash Table,,,,
595,,,,,
596,,,,,
597,,,,,
598,Math,,,,
599,Hash Table,,,,
600,Dynamic Programming,,,,
601,,,,,
602,,,,,
603,,,,,
604,Design,,,,
605,Arrays,,,,
606,String,Tree,,,
607,,,,,
608,,,,,
609,Hash Table,String,,,
610,,,,,
611,Arrays,,,,
612,,,,,
613,,,,,
614,,,,,
615,,,,,
616,String,,,,
617,Tree,,,,
618,,,,,
619,,,,,
620,,,,,
621,Arrays,Greedy,Queue,,
622,Design,Queue,,,
623,Tree,,,,
624,Arrays,Hash Table,,,
625,Math,Recursion,,,
626,,,,,
627,,,,,
628,Arrays,Math,,,
629,Dynamic Programming,,,,
630,Greedy,,,,
631,Design,,,,
632,Hash Table,Two Pointers,String,,
633,Math,,,,
634,Math,,,,
635,String,Design,,,
636,Stack,,,,
637,Tree,,,,
638,Dynamic Programming,Depth First Search,,,
639,Dynamic Programming,,,,
640,Math,,,,
641,Design,Queue,,,
642,Design,Trie,,,
643,Arrays,,,,
644,Arrays,Binary Search,,,
645,Hash Table,Math,,,
646,Dynamic Programming,,,,
647,String,Dynamic Programming,,,
648,Hash Table,Trie,,,
649,Greedy,,,,
650,Dynamic Programming,,,,
651,Math,Dynamic Programming,Greedy,,
652,Tree,,,,
653,Tree,,,,
654,Tree,,,,
655,Tree,,,,
656,Dynamic Programming,,,,
657,String,,,,
658,Binary Search,,,,
659,Heap,Greedy,,,
660,Math,,,,
661,Arrays,,,,
662,Tree,,,,
663,Tree,,,,
664,Dynamic Programming,Depth First Search,,,
665,Arrays,,,,
666,Tree,,,,
667,Arrays,,,,
668,Binary Search,,,,
669,Tree,,,,
670,Arrays,Math,,,
671,Tree,,,,
672,Math,,,,
673,Dynamic Programming,,,,
674,Arrays,,,,
675,Breadth First Search,,,,
676,Hash Table,Trie,,,
677,Trie,,,,
678,String,,,,
679,Depth First Search,,,,
680,String,,,,
681,String,,,,
682,Stack,,,,
683,Ordered Map,,,,
684,Tree,Union Find,Graph,,
685,Tree,Depth First Search,Union Find,Graph,
686,String,,,,
687,Tree,Recursion,,,
688,Dynamic Programming,,,,
689,Arrays,Dynamic Programming,,,
690,Hash Table,Depth First Search,Breadth First Search,,
691,Dynamic Programming,Backtracking,,,
692,Hash Table,Heap,Trie,,
693,Bit Manipulation,,,,
694,Hash Table,Depth First Search,,,
695,Arrays,Depth First Search,,,
696,String,,,,
697,Arrays,,,,
698,Dynamic Programming,Recursion,,,
699,Segment Tree,Ordered Map,,,
700,Tree,,,,
701,Tree,,,,
702,Binary Search,,,,
703,Heap,Design,,,
704,Binary Search,,,,
705,Hash Table,Design,,,
706,Hash Table,Design,,,
707,Linked Lists,Design,,,
708,Linked Lists,,,,
709,String,,,,
710,Hash Table,Binary Search,Sort,Random,
711,Hash Table,Depth First Search,,,
712,Dynamic Programming,,,,
713,Arrays,Two Pointers,,,
714,Arrays,Dynamic Programming,Greedy,,
715,Segment Tree,Ordered Map,,,
716,Design,,,,
717,Arrays,,,,
718,Arrays,Hash Table,Binary Search,Dynamic Programming,
719,Arrays,Binary Search,Heap,,
720,Hash Table,Trie,,,
721,Depth First Search,Union Find,,,
722,String,,,,
723,Arrays,Two Pointers,,,
724,Arrays,,,,
725,Linked Lists,,,,
726,Hash Table,Stack,Recursion,,
727,Dynamic Programming,Sliding Window,,,
728,Math,,,,
729,Arrays,,,,
730,String,Dynamic Programming,,,
731,Ordered Map,,,,
732,Segment Tree,Ordered Map,,,
733,Depth First Search,,,,
734,Hash Table,,,,
735,Stack,,,,
736,String,,,,
737,Depth First Search,Union Find,,,
738,Greedy,,,,
739,Hash Table,Stack,,,
740,Dynamic Programming,,,,
741,Dynamic Programming,,,,
742,Tree,,,,
743,Heap,Depth First Search,Breadth First Search,Graph,
744,Binary Search,,,,
745,Trie,,,,
746,Arrays,Dynamic Programming,,,
747,Arrays,,,,
748,Hash Table,,,,
749,Depth First Search,,,,
750,Dynamic Programming,,,,
751,Bit Manipulation,,,,
752,Breadth First Search,,,,
753,Math,Depth First Search,,,
754,Math,,,,
755,Arrays,,,,
756,Bit Manipulation,Depth First Search,,,
757,Greedy,,,,
758,String,,,,
759,Heap,Greedy,,,
760,Hash Table,,,,
761,String,Recursion,,,
762,Bit Manipulation,,,,
763,Two Pointers,Greedy,,,
764,Dynamic Programming,,,,
765,Greedy,Union Find,Graph,,
766,Arrays,,,,
767,String,Heap,Greedy,Sort,
768,Arrays,,,,
769,Arrays,,,,
770,Hash Table,String,Stack,,
771,Hash Table,,,,
772,String,Stack,,,
773,Breadth First Search,,,,
774,Binary Search,,,,
775,Arrays,Math,,,
776,Tree,Recursion,,,
777,Brain Teaser,,,,
778,Binary Search,Heap,Depth First Search,Union Find,
779,Recursion,,,,
780,Math,,,,
781,Hash Table,Math,,,
782,Arrays,Math,,,
783,Tree,Recursion,,,
784,Backtracking,Bit Manipulation,,,
785,Depth First Search,Breadth First Search,Graph,,
786,Binary Search,Heap,,,
787,Dynamic Programming,Heap,Breadth First Search,,
788,String,,,,
789,Math,,,,
790,Dynamic Programming,,,,
791,String,,,,
792,Arrays,,,,
793,Binary Search,,,,
794,Math,Recursion,,,
795,Arrays,,,,
796,,,,,
797,Backtracking,Depth First Search,Graph,,
798,,,,,
799,Dynamic Programming,,,,
