,0,1,2,3,4
800,Math,String,,,
801,Dynamic Programming,,,,
802,Depth First Search,Graph,,,
803,Union Find,,,,
804,String,,,,
805,Math,,,,
806,,,,,
807,,,,,
808,Dynamic Programming,,,,
809,String,,,,
810,Math,,,,
811,Hash Table,,,,
812,Math,,,,
813,Dynamic Programming,,,,
814,Tree,,,,
815,Breadth First Search,,,,
816,String,,,,
817,Linked Lists,,,,
818,Dynamic Programming,Heap,,,
819,String,,,,
820,,,,,
821,,,,,
822,,,,,
823,,,,,
824,String,,,,
825,Arrays,,,,
826,Two Pointers,,,,
827,Depth First Search,,,,
828,Two Pointers,,,,
829,Math,,,,
830,Arrays,,,,
831,String,,,,
832,Arrays,,,,
833,String,,,,
834,Tree,Depth First Search,,,
835,Arrays,,,,
836,Math,,,,
837,Dynamic Programming,,,,
838,Two Pointers,Dynamic Programming,,,
839,Depth First Search,Union Find,Graph,,
840,Arrays,,,,
841,Depth First Search,Graph,,,
842,String,Backtracking,Greedy,,
843,Minimax,,,,
844,Two Pointers,Stack,,,
845,Two Pointers,,,,
846,Ordered Map,,,,
847,Dynamic Programming,Breadth First Search,,,
848,String,,,,
849,Arrays,,,,
850,Segment Tree,,,,
851,Depth First Search,,,,
852,Binary Search,,,,
853,Sort,,,,
854,Breadth First Search,Graph,,,
855,Ordered Map,,,,
856,String,Stack,,,
857,Heap,,,,
858,Math,,,,
859,String,,,,
860,Greedy,,,,
861,Greedy,,,,
862,Binary Search,Queue,,,
863,Tree,Depth First Search,Breadth First Search,,
864,Heap,Breadth First Search,,,
865,Tree,,,,
866,Math,,,,
867,Arrays,,,,
868,Math,,,,
869,Math,,,,
870,Arrays,Greedy,,,
871,Dynamic Programming,Heap,,,
872,Tree,Depth First Search,,,
873,Arrays,Dynamic Programming,,,
874,Greedy,,,,
875,Binary Search,,,,
876,Linked Lists,,,,
877,Math,Dynamic Programming,Minimax,,
878,Math,Binary Search,,,
879,Dynamic Programming,,,,
880,Stack,,,,
881,Two Pointers,Greedy,,,
882,Heap,,,,
883,Math,,,,
884,Hash Table,,,,
885,Math,,,,
886,Depth First Search,Graph,,,
887,Math,Binary Search,Dynamic Programming,,
888,Arrays,,,,
889,Tree,,,,
890,String,,,,
891,Arrays,Math,,,
892,Math,Geometry,,,
893,String,,,,
894,Tree,Recursion,,,
895,Hash Table,Stack,,,
896,Arrays,,,,
897,Tree,Depth First Search,,,
898,Dynamic Programming,Bit Manipulation,,,
899,Math,String,,,
900,Arrays,,,,
901,Stack,,,,
902,Math,Dynamic Programming,,,
903,Divide and Conquer,Dynamic Programming,,,
904,Two Pointers,,,,
905,Arrays,,,,
906,Math,,,,
907,Arrays,Stack,,,
908,Math,,,,
909,Breadth First Search,,,,
910,Math,Greedy,,,
911,Binary Search,,,,
912,,,,,
913,Breadth First Search,Minimax,,,
914,Arrays,Math,,,
915,Arrays,,,,
916,String,,,,
917,String,,,,
918,Arrays,,,,
919,Tree,,,,
920,Dynamic Programming,,,,
921,Stack,Greedy,,,
922,Arrays,Sort,,,
923,Two Pointers,,,,
924,Depth First Search,Union Find,,,
925,Two Pointers,String,,,
926,Arrays,,,,
927,Math,Binary Search,Greedy,,
928,Depth First Search,Union Find,Graph,,
929,String,,,,
930,Hash Table,Two Pointers,,,
931,Dynamic Programming,,,,
932,Divide and Conquer,,,,
933,Queue,,,,
934,Depth First Search,Breadth First Search,,,
935,Dynamic Programming,,,,
936,String,Greedy,,,
937,String,,,,
938,Tree,Depth First Search,Recursion,,
939,Hash Table,,,,
940,Dynamic Programming,,,,
941,Arrays,,,,
942,Math,,,,
943,Dynamic Programming,,,,
944,Greedy,,,,
945,Arrays,,,,
946,Stack,,,,
947,Depth First Search,Union Find,,,
948,Two Pointers,Greedy,Sort,,
949,Math,,,,
950,Arrays,,,,
951,Tree,,,,
952,Math,Union Find,,,
953,Hash Table,,,,
954,Arrays,Hash Table,,,
955,Greedy,,,,
956,Dynamic Programming,,,,
957,Hash Table,,,,
958,Tree,,,,
959,Depth First Search,Union Find,Graph,,
960,Dynamic Programming,,,,
961,Hash Table,,,,
962,Arrays,,,,
963,Math,Geometry,,,
964,Math,Dynamic Programming,,,
965,Tree,,,,
966,Hash Table,String,,,
967,Depth First Search,Breadth First Search,,,
968,Dynamic Programming,Tree,Depth First Search,,
969,Arrays,Sort,,,
970,Hash Table,Math,,,
971,Tree,Depth First Search,,,
972,Math,,,,
973,Divide and Conquer,Heap,Sort,,
974,Arrays,Hash Table,,,
975,Dynamic Programming,Stack,Ordered Map,,
976,Math,Sort,,,
977,Arrays,Two Pointers,,,
978,Arrays,Dynamic Programming,Sliding Window,,
979,Tree,Depth First Search,,,
980,Backtracking,Depth First Search,,,
981,Hash Table,Binary Search,,,
982,Dynamic Programming,,,,
983,Dynamic Programming,,,,
984,Greedy,,,,
985,Arrays,,,,
986,Two Pointers,,,,
987,Hash Table,Tree,,,
988,Tree,Depth First Search,,,
989,Arrays,,,,
990,Union Find,Graph,,,
991,Math,Greedy,,,
992,Hash Table,Two Pointers,Sliding Window,,
993,Tree,Breadth First Search,,,
994,Breadth First Search,,,,
995,Greedy,Sliding Window,,,
996,Math,Backtracking,Graph,,
997,Graph,,,,
998,Tree,,,,
999,Arrays,,,,
1000,Dynamic Programming,,,,
1001,Hash Table,,,,
1002,Arrays,Hash Table,,,
1003,String,Stack,,,
1004,Two Pointers,Sliding Window,,,
1005,Greedy,,,,
1006,Math,,,,
1007,Arrays,Greedy,,,
1008,Tree,,,,
1009,Math,,,,
1010,Arrays,,,,
1011,Arrays,Binary Search,,,
1012,Math,Dynamic Programming,,,
1013,Arrays,,,,
1014,Arrays,,,,
1015,Math,,,,
1016,String,,,,
1017,Math,,,,
1018,Arrays,,,,
1019,Linked Lists,Stack,,,
1020,Depth First Search,,,,
1021,Stack,,,,
1022,Tree,,,,
1023,String,Trie,,,
1024,Dynamic Programming,,,,
1025,Math,Dynamic Programming,,,
1026,Tree,Depth First Search,,,
1027,Dynamic Programming,,,,
1028,Tree,Depth First Search,,,
1029,Greedy,,,,
1030,Sort,,,,
1031,Arrays,,,,
1032,Trie,,,,
1033,Brain Teaser,,,,
1034,Depth First Search,,,,
1035,Arrays,,,,
1036,Breadth First Search,,,,
1037,Math,,,,
1038,Binary Search Tree,,,,
1039,Dynamic Programming,,,,
1040,Arrays,Sliding Window,,,
1041,Math,,,,
1042,Graph,,,,
1043,Dynamic Programming,,,,
1044,Hash Table,Binary Search,,,
1045,,,,,
1046,Heap,Greedy,,,
1047,Stack,,,,
1048,Hash Table,Dynamic Programming,,,
1049,Dynamic Programming,,,,
1050,,,,,
1051,Arrays,,,,
1052,Arrays,Sliding Window,,,
1053,Arrays,Greedy,,,
1054,Heap,Sort,,,
1055,Dynamic Programming,Greedy,,,
1056,Math,,,,
1057,Greedy,Sort,,,
1058,Math,Dynamic Programming,Greedy,,
1059,Depth First Search,Graph,,,
1060,Binary Search,,,,
1061,Depth First Search,Union Find,,,
1062,String,,,,
1063,Stack,,,,
1064,Arrays,Binary Search,,,
1065,String,Trie,,,
1066,Dynamic Programming,Backtracking,,,
1067,Math,Dynamic Programming,,,
1068,,,,,
1069,,,,,
1070,,,,,
1071,String,,,,
1072,Hash Table,,,,
1073,Math,,,,
1074,Arrays,Dynamic Programming,Sliding Window,,
1075,,,,,
1076,,,,,
1077,,,,,
1078,Hash Table,,,,
1079,Backtracking,,,,
1080,Depth First Search,,,,
1081,String,Stack,Greedy,,
1082,,,,,
1083,,,,,
1084,,,,,
1085,Arrays,,,,
1086,Arrays,Hash Table,Sort,,
1087,Backtracking,,,,
1088,Math,Backtracking,,,
1089,Arrays,,,,
1090,Hash Table,Greedy,,,
1091,Breadth First Search,,,,
1092,Dynamic Programming,,,,
1093,Math,Two Pointers,,,
1094,Greedy,,,,
1095,Binary Search,,,,
1096,String,,,,
1097,,,,,
1098,,,,,
1099,Arrays,Two Pointers,Sort,,
1100,String,Sliding Window,,,
1101,Union Find,,,,
1102,Depth First Search,Union Find,Graph,,
1103,Math,,,,
1104,Math,Tree,,,
1105,Dynamic Programming,,,,
1106,String,,,,
1107,,,,,
1108,String,,,,
1109,Arrays,Math,,,
1110,Tree,Depth First Search,,,
1111,Binary Search,Greedy,,,
1112,,,,,
1113,,,,,
1114,,,,,
1115,,,,,
1116,,,,,
1117,,,,,
1118,,,,,
1119,String,,,,
1120,Tree,,,,
1121,Math,,,,
1122,Arrays,Sort,,,
1123,Tree,Depth First Search,,,
1124,Stack,,,,
1125,Dynamic Programming,Bit Manipulation,,,
1126,,,,,
1127,,,,,
1128,Arrays,,,,
1129,Breadth First Search,Graph,,,
1130,Dynamic Programming,Stack,Tree,,
1131,Math,Bit Manipulation,,,
1132,,,,,
1133,Arrays,Hash Table,,,
1134,Math,,,,
1135,Union Find,Graph,,,
1136,Dynamic Programming,Depth First Search,Graph,,
1137,Recursion,,,,
1138,Hash Table,String,,,
1139,Dynamic Programming,,,,
1140,Dynamic Programming,,,,
1141,,,,,
1142,,,,,
1143,Dynamic Programming,,,,
1144,Arrays,,,,
1145,Tree,Depth First Search,,,
1146,Arrays,,,,
1147,Dynamic Programming,,,,
1148,,,,,
1149,,,,,
1150,Arrays,Binary Search,,,
1151,Arrays,Sliding Window,,,
1152,Arrays,Hash Table,Sort,,
1153,Graph,,,,
1154,Math,,,,
1155,Dynamic Programming,,,,
1156,String,,,,
1157,Arrays,Binary Search,Segment Tree,,
1158,,,,,
1159,,,,,
1160,Arrays,Hash Table,,,
1161,Tree,Breadth First Search,,,
1162,Breadth First Search,Graph,,,
1163,String,,,,
1164,,,,,
1165,String,,,,
1166,Hash Table,Design,,,
1167,Greedy,,,,
1168,Union Find,Graph,,,
1169,Arrays,String,,,
1170,Arrays,String,,,
1171,Linked Lists,,,,
1172,Design,,,,
1173,,,,,
1174,,,,,
1175,Math,,,,
1176,Arrays,Sliding Window,,,
1177,Arrays,String,,,
1178,Hash Table,Bit Manipulation,,,
1179,,,,,
1180,Math,String,,,
1181,String,,,,
1182,Binary Search,,,,
1183,Math,Sort,,,
1184,Arrays,,,,
1185,Arrays,,,,
1186,Dynamic Programming,,,,
1187,Dynamic Programming,,,,
1188,,,,,
1189,Hash Table,String,,,
1190,Stack,,,,
1191,Dynamic Programming,,,,
1192,Depth First Search,,,,
1193,,,,,
1194,,,,,
1195,,,,,
1196,Greedy,,,,
1197,Breadth First Search,,,,
1198,Hash Table,Binary Search,,,
1199,Math,Dynamic Programming,,,
1200,Arrays,,,,
1201,Math,Binary Search,,,
1202,Arrays,Union Find,,,
1203,Depth First Search,Graph,Topological Sort,,
1204,,,,,
1205,,,,,
1206,Design,,,,
1207,Hash Table,,,,
1208,Arrays,Sliding Window,,,
1209,Stack,,,,
1210,Breadth First Search,,,,
1211,,,,,
1212,,,,,
1213,Hash Table,Two Pointers,,,
1214,Binary Search Tree,,,,
1215,Backtracking,,,,
1216,String,Dynamic Programming,,,
1217,Arrays,Math,Greedy,,
1218,Math,Dynamic Programming,,,
1219,Backtracking,,,,
1220,Dynamic Programming,,,,
1221,String,Greedy,,,
1222,Arrays,,,,
1223,Dynamic Programming,,,,
1224,Hash Table,,,,
1225,,,,,
1226,,,,,
1227,Math,Dynamic Programming,Brain Teaser,,
1228,Math,,,,
1229,,,,,
1230,Math,Dynamic Programming,,,
1231,Binary Search,Greedy,,,
1232,Arrays,Math,Geometry,,
1233,Arrays,String,,,
1234,Two Pointers,String,,,
1235,Binary Search,Dynamic Programming,Sort,,
1236,Depth First Search,Breadth First Search,,,
1237,Math,Binary Search,,,
1238,Math,,,,
1239,Backtracking,Bit Manipulation,,,
1240,Dynamic Programming,Backtracking,,,
1241,,,,,
1242,Depth First Search,Breadth First Search,,,
1243,Arrays,,,,
1244,Hash Table,Sort,Design,,
1245,Tree,Depth First Search,Breadth First Search,,
1246,Dynamic Programming,,,,
1247,String,Greedy,,,
1248,Two Pointers,,,,
1249,String,Stack,,,
1250,Math,,,,
1251,,,,,
1252,Arrays,,,,
1253,Math,Greedy,,,
1254,Depth First Search,,,,
1255,Bit Manipulation,,,,
1256,Math,Bit Manipulation,,,
1257,Tree,,,,
1258,Backtracking,,,,
1259,Math,Dynamic Programming,,,
1260,Arrays,,,,
1261,Hash Table,Tree,,,
1262,Dynamic Programming,,,,
1263,Breadth First Search,,,,
1264,,,,,
1265,,,,,
1266,Arrays,Geometry,,,
1267,Arrays,Graph,,,
1268,String,,,,
1269,Dynamic Programming,,,,
1270,,,,,
1271,Math,String,,,
1272,Math,,,,
1273,Dynamic Programming,Depth First Search,,,
1274,Divide and Conquer,,,,
1275,Arrays,,,,
1276,Math,Greedy,,,
1277,Arrays,Dynamic Programming,,,
1278,Dynamic Programming,,,,
1279,,,,,
1280,,,,,
1281,Math,,,,
1282,Greedy,,,,
1283,Binary Search,,,,
1284,Breadth First Search,,,,
1285,,,,,
1286,Backtracking,Design,,,
1287,Arrays,,,,
1288,Greedy,Sort,,,
1289,Dynamic Programming,,,,
1290,Linked Lists,Bit Manipulation,,,
1291,Backtracking,,,,
1292,Arrays,Binary Search,,,
1293,Breadth First Search,,,,
1294,,,,,
1295,Arrays,,,,
1296,Arrays,Greedy,,,
1297,String,Bit Manipulation,,,
1298,Breadth First Search,,,,
1299,Arrays,,,,
1300,Arrays,Binary Search,,,
1301,Dynamic Programming,,,,
1302,Tree,Depth First Search,,,
1303,,,,,
1304,Arrays,,,,
1305,Sort,Tree,,,
1306,Breadth First Search,Graph,,,
1307,Math,Backtracking,,,
1308,,,,,
1309,String,,,,
1310,Bit Manipulation,,,,
1311,Hash Table,String,Breadth First Search,,
1312,Dynamic Programming,,,,
1313,Arrays,,,,
1314,Dynamic Programming,,,,
1315,Tree,Depth First Search,,,
1316,String,,,,
1317,Math,,,,
1318,Bit Manipulation,,,,
1319,Depth First Search,Breadth First Search,Union Find,,
1320,Dynamic Programming,,,,
1321,,,,,
1322,,,,,
1323,Math,,,,
1324,String,,,,
1325,Tree,,,,
1326,Dynamic Programming,Greedy,,,
1327,,,,,
1328,String,,,,
1329,Arrays,Sort,,,
1330,Arrays,Math,,,
1331,Arrays,,,,
1332,String,,,,
1333,Arrays,Sort,,,
1334,Graph,,,,
1335,Dynamic Programming,,,,
1336,,,,,
1337,Arrays,Binary Search,,,
1338,Arrays,Greedy,,,
1339,Dynamic Programming,Tree,Depth First Search,,
1340,Dynamic Programming,,,,
1341,,,,,
1342,Bit Manipulation,,,,
1343,Arrays,,,,
1344,Math,,,,
1345,Breadth First Search,,,,
1346,Arrays,,,,
1347,String,,,,
1348,Design,,,,
1349,Dynamic Programming,,,,
1350,,,,,
1351,Arrays,Binary Search,,,
1352,Arrays,Design,,,
1353,Greedy,Sort,Segment Tree,,
1354,Greedy,,,,
1355,,,,,
1356,Sort,Bit Manipulation,,,
1357,Design,,,,
1358,String,,,,
1359,Math,Dynamic Programming,,,
1360,,,,,
1361,Graph,,,,
1362,Math,,,,
1363,Math,Dynamic Programming,,,
1364,,,,,
1365,Arrays,Hash Table,,,
1366,Arrays,Sort,,,
1367,Linked Lists,Dynamic Programming,Tree,,
1368,Breadth First Search,,,,
1369,,,,,
1370,String,Sort,,,
1371,String,,,,
1372,Dynamic Programming,Tree,,,
1373,Dynamic Programming,Binary Search Tree,,,
1374,String,,,,
1375,Arrays,,,,
1376,Depth First Search,,,,
1377,Depth First Search,,,,
1378,,,,,
1379,Tree,,,,
1380,Arrays,,,,
1381,Stack,Design,,,
1382,Binary Search Tree,,,,
1383,Greedy,Sort,,,
1384,,,,,
1385,Arrays,,,,
1386,Arrays,Greedy,,,
1387,Sort,Graph,,,
1388,Dynamic Programming,,,,
1389,Arrays,,,,
1390,Math,,,,
1391,Depth First Search,Breadth First Search,,,
1392,String,,,,
1393,,,,,
1394,Arrays,,,,
1395,Arrays,,,,
1396,Design,,,,
1397,Dynamic Programming,,,,
1398,,,,,
1399,Arrays,,,,
1400,Greedy,,,,
1401,Geometry,,,,
1402,Dynamic Programming,,,,
1403,Greedy,Sort,,,
1404,String,Bit Manipulation,,,
1405,Dynamic Programming,Greedy,,,
1406,Dynamic Programming,,,,
1407,,,,,
1408,String,,,,
1409,Arrays,,,,
1410,String,Stack,,,
1411,Dynamic Programming,,,,
1412,,,,,
1413,Arrays,,,,
1414,Arrays,Greedy,,,
1415,Backtracking,,,,
1416,Dynamic Programming,,,,
1417,String,,,,
1418,Hash Table,,,,
1419,String,,,,
1420,Dynamic Programming,,,,
1421,,,,,
1422,String,,,,
1423,Arrays,Dynamic Programming,Sliding Window,,
1424,Arrays,Sort,,,
1425,Dynamic Programming,,,,
1426,Arrays,,,,
1427,Arrays,Math,,,
1428,Arrays,,,,
1429,Hash Table,Design,,,
1430,Tree,,,,
1431,Arrays,,,,
1432,String,,,,
1433,String,Greedy,,,
1434,Dynamic Programming,Bit Manipulation,,,
1435,,,,,
1436,String,,,,
1437,Arrays,,,,
1438,Arrays,Sliding Window,,,
1439,Heap,,,,
1440,,,,,
1441,Stack,,,,
1442,Arrays,Math,Bit Manipulation,,
1443,Tree,Depth First Search,,,
1444,Dynamic Programming,,,,
1445,,,,,
1446,String,,,,
1447,Math,,,,
1448,Tree,Depth First Search,,,
1449,String,Dynamic Programming,,,
1450,Arrays,,,,
1451,String,Sort,,,
1452,String,Sort,,,
1453,Geometry,,,,
1454,,,,,
1455,String,,,,
1456,String,Sliding Window,,,
1457,Bit Manipulation,Tree,Depth First Search,,
1458,Dynamic Programming,,,,
1459,,,,,
1460,Arrays,,,,
1461,String,Bit Manipulation,,,
1462,Graph,,,,
1463,Dynamic Programming,,,,
1464,Arrays,,,,
1465,Arrays,,,,
1466,Tree,Depth First Search,,,
1467,Math,Backtracking,,,
1468,,,,,
1469,Tree,Depth First Search,,,
1470,Arrays,,,,
1471,Arrays,Sort,,,
1472,Design,,,,
1473,Dynamic Programming,,,,
1474,Linked Lists,,,,
1475,Arrays,,,,
1476,Arrays,,,,
1477,Dynamic Programming,,,,
1478,Math,Dynamic Programming,,,
1479,,,,,
1480,Arrays,,,,
1481,Arrays,Sort,,,
1482,Arrays,Binary Search,,,
1483,Dynamic Programming,,,,
1484,,,,,
1485,Hash Table,Tree,Depth First Search,Breadth First Search,
1486,Arrays,Bit Manipulation,,,
1487,Hash Table,String,,,
1488,Arrays,Hash Table,,,
1489,Depth First Search,Union Find,,,
1490,Hash Table,Tree,Depth First Search,Breadth First Search,
1491,Arrays,Sort,,,
1492,Math,,,,
1493,Arrays,,,,
1494,Graph,,,,
1495,,,,,
1496,String,,,,
1497,Arrays,Math,Greedy,,
1498,Sort,Sliding Window,,,
1499,Arrays,Sliding Window,,,
1500,Arrays,Design,,,
1501,,,,,
1502,Arrays,Sort,,,
1503,Arrays,Brain Teaser,,,
1504,Dynamic Programming,,,,
1505,Greedy,,,,
1506,,,,,
1507,String,,,,
1508,Arrays,Sort,,,
1509,Arrays,Sort,,,
1510,Dynamic Programming,,,,
1511,,,,,
1512,Arrays,Hash Table,Math,,
1513,Math,String,,,
1514,Graph,,,,
1515,Geometry,,,,
1516,Tree,,,,
1517,,,,,
1518,Greedy,,,,
1519,Depth First Search,Breadth First Search,,,
1520,Greedy,,,,
1521,Binary Search,Bit Manipulation,Segment Tree,,
1522,,,,,
1523,Math,,,,
1524,Arrays,Math,,,
1525,String,Bit Manipulation,,,
1526,Segment Tree,,,,
1527,,,,,
1528,Sort,,,,
1529,String,,,,
1530,Tree,Depth First Search,,,
1531,String,Dynamic Programming,,,
1532,,,,,
1533,Binary Search,,,,
1534,Arrays,,,,
1535,Arrays,,,,
1536,Greedy,,,,
1537,Dynamic Programming,,,,
1538,,,,,
1539,Arrays,Hash Table,,,
1540,String,Greedy,,,
1541,String,Stack,,,
1542,String,Bit Manipulation,,,
1543,,,,,
1544,String,Stack,,,
1545,String,,,,
1546,Dynamic Programming,,,,
1547,Dynamic Programming,,,,
1548,Dynamic Programming,Graph,,,
1549,,,,,
1550,Arrays,,,,
1551,Math,,,,
1552,Arrays,Binary Search,,,
1553,Dynamic Programming,,,,
1554,,,,,
1555,,,,,
1556,String,,,,
1557,Graph,,,,
1558,Greedy,,,,
1559,Depth First Search,,,,
1560,Arrays,,,,
1561,Sort,,,,
1562,Binary Search,,,,
1563,Dynamic Programming,,,,
1564,Greedy,,,,
1565,,,,,
1566,Arrays,,,,
1567,Greedy,,,,
1568,Greedy,,,,
1569,Dynamic Programming,,,,
1570,Arrays,Hash Table,Two Pointers,,
1571,,,,,
1572,Arrays,,,,
1573,String,,,,
1574,Arrays,Binary Search,,,
1575,Dynamic Programming,,,,
1576,String,,,,
1577,Hash Table,Math,,,
1578,Greedy,,,,
1579,Union Find,,,,
1580,Greedy,,,,
1581,,,,,
1582,Arrays,,,,
1583,Arrays,,,,
1584,Union Find,,,,
1585,String,Greedy,,,
1586,Tree,Design,,,
1587,,,,,
1588,Arrays,,,,
1589,Greedy,,,,
1590,Arrays,Hash Table,Math,Binary Search,
1591,Greedy,,,,
1592,String,,,,
1593,Backtracking,,,,
1594,Dynamic Programming,Greedy,,,
1595,Dynamic Programming,Graph,,,
1596,,,,,
1597,String,Tree,,,
1598,Stack,,,,
1599,Greedy,,,,
1600,Tree,Design,,,
1601,Dynamic Programming,,,,
1602,Tree,Breadth First Search,,,
1603,Design,,,,
1604,String,Ordered Map,,,
1605,Greedy,,,,
1606,Ordered Map,,,,
1607,,,,,
1608,Arrays,,,,
1609,Tree,,,,
1610,Two Pointers,Geometry,,,
1611,Dynamic Programming,Bit Manipulation,,,
1612,Hash Table,Tree,,,
1613,,,,,
1614,String,,,,
1615,Graph,,,,
1616,Two Pointers,String,Greedy,,
1617,Backtracking,,,,
1618,String,Binary Search,,,
1619,Arrays,,,,
1620,Greedy,,,,
1621,Dynamic Programming,,,,
1622,Math,Design,,,
1623,,,,,
1624,String,,,,
1625,Depth First Search,Breadth First Search,,,
1626,Dynamic Programming,,,,
1627,Math,Union Find,,,
1628,Tree,Design,,,
1629,Arrays,,,,
1630,Sort,,,,
1631,Binary Search,Depth First Search,Union Find,Graph,
1632,Greedy,Union Find,,,
1633,,,,,
1634,Linked Lists,,,,
1635,,,,,
1636,Arrays,Sort,,,
1637,Sort,,,,
1638,Hash Table,String,Trie,,
1639,Dynamic Programming,,,,
1640,Arrays,Sort,,,
1641,Math,Dynamic Programming,Backtracking,,
1642,Binary Search,Heap,,,
1643,Dynamic Programming,,,,
1644,Tree,,,,
1645,,,,,
1646,Arrays,,,,
1647,Greedy,Sort,,,
1648,Math,Greedy,Sort,,
1649,Binary Indexed Tree,Segment Tree,Ordered Map,,
1650,Tree,,,,
1651,,,,,
1652,Arrays,,,,
1653,String,Greedy,,,
1654,Dynamic Programming,Breadth First Search,,,
1655,Dynamic Programming,Backtracking,,,
1656,Arrays,Design,,,
1657,Greedy,,,,
1658,Two Pointers,Binary Search,Greedy,,
1659,Dynamic Programming,Backtracking,,,
